,launch_speed,launch_angle,woba_value
4837,78.8,32.0,0.0
4842,93.0,-20.0,0.0
4844,105.7,17.0,0.0
4845,100.9,-16.0,0.0
4853,88.8,53.0,0.0
4862,96.1,7.0,0.9
4866,117.1,-2.0,0.0
4872,104.9,33.0,2.0
4883,76.9,-6.0,0.0
4891,83.7,23.0,0.0
4901,107.6,5.0,0.0
4903,100.4,-1.0,0.9
4906,98.4,0.0,0.9
4915,90.7,61.0,0.0
4922,106.1,-11.0,0.0
4924,101.5,5.0,0.9
4929,88.9,29.0,1.25
4936,91.3,1.0,0.0
4945,100.8,3.0,0.9
4951,102.3,14.0,0.9
4957,84.0,0.0,0.0
4964,108.0,34.0,2.0
4968,85.6,48.0,0.0
4977,94.7,40.0,0.0
4985,76.5,23.0,0.9
4987,69.0,-3.0,0.0
4988,87.3,-18.0,0.0
4991,42.3,11.0,0.0
4992,73.9,27.0,0.9
4996,108.5,32.0,2.0
4998,48.7,-23.0,0.0
5003,102.7,28.0,2.0
5004,61.9,18.0,0.0
5014,85.2,28.0,0.0
5020,80.6,41.0,0.0
5037,102.0,15.0,0.9
5039,103.0,12.0,0.0
5043,82.0,11.0,0.9
5047,62.8,34.0,0.9
5054,88.5,5.0,0.9
5061,107.4,31.0,2.0
5073,102.0,-5.0,0.0
5077,87.3,-28.0,0.0
5082,86.4,61.0,0.0
5088,45.7,-61.0,0.0
5095,101.4,5.0,0.9
5099,113.4,19.0,2.0
5109,90.6,-12.0,0.9
5116,84.5,35.0,0.0
5118,83.9,33.0,0.0
5119,71.5,32.0,0.0
5125,71.1,-9.0,0.0
5132,78.3,-10.0,0.0
5138,107.1,-2.0,0.0
5145,93.8,43.0,0.0
5151,107.2,18.0,1.25
5154,47.7,55.0,0.0
5156,109.2,4.0,0.9
5161,109.9,6.0,0.9
5164,104.6,3.0,0.9
5173,93.1,25.0,0.0
5182,95.7,41.0,0.0
5184,82.2,29.0,0.0
5191,103.1,-28.0,0.9
5193,92.1,33.0,0.0
5195,79.6,3.0,0.9
5201,94.8,0.0,0.9
5211,49.4,-79.0,0.0
5217,96.3,7.0,1.25
5219,59.6,-55.0,0.0
5236,93.5,16.0,1.25
5238,103.4,-7.0,0.0
5241,68.0,-32.0,0.0
5243,98.3,9.0,0.9
5251,98.7,18.0,0.0
5252,101.7,-16.0,0.0
5258,101.6,-2.0,1.25
